,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
8,2020-10-01,0.09065929057410238,0.16171998052024272,0.21182232570732729,0.2273934881284032,0.1434914344505882,0.08139776290761835,0.2065980139475041,0.24330066885960355,0.2130376608022002,Regency - Tanglewood - Marquee - Wildwood
9,2021-01-01,0.05743350746006026,0.1307501785765901,0.189325809969364,0.20663534723374877,0.11494624293620581,0.046591356724406285,0.1859341603461726,0.22508884322723355,0.1879613593354974,Regency - Tanglewood - Marquee - Wildwood
10,2021-04-01,0.019656180933071754,0.08775669106996631,0.1484202663712082,0.16636526322937506,0.07601455428839077,0.0099307513904634,0.14633836715365955,0.18333768149536867,0.15334196705501313,Regency - Tanglewood - Marquee - Wildwood
11,2021-07-01,0.002842694427407144,0.07060575008521108,0.13910509300221885,0.1582377928473342,0.06299550263973819,-0.0059637976082485,0.13349555253035428,0.17688901551489655,0.1486200958775281,Regency - Tanglewood - Marquee - Wildwood
12,2021-10-01,-0.016949231503302298,0.041929301475288616,0.10990123170264865,0.12893589343386314,0.038048373196746255,-0.023448060045004326,0.10232900842569381,0.1467319858827132,0.1159310177910966,Regency - Tanglewood - Marquee - Wildwood
13,2022-01-01,-0.037340005674215804,0.013567685831860965,0.0811416077326228,0.0991802009717353,0.01216976632282507,-0.04199780178080148,0.07130031257986702,0.116610745932755,0.0834257496063231,Regency - Tanglewood - Marquee - Wildwood
14,2022-04-01,-0.05062209915491778,-0.0070836489035571715,0.05838148888590511,0.07457666709532251,-0.0070836489035571715,-0.05395358198675193,0.047066173797320365,0.09202843644903336,0.05771025019145837,Regency - Tanglewood - Marquee - Wildwood
15,2022-07-01,-0.051522215918038294,-0.0035333913823293317,0.07299785163433725,0.09003015487954014,-0.0035333913823293317,-0.054736389324213985,0.057471239776577754,0.10871542198743556,0.06832701895616311,Regency - Tanglewood - Marquee - Wildwood
16,2022-10-01,-0.03497246948430066,0.00991551250789846,0.08737631106666033,0.10400702068985312,0.00991551250789846,-0.03778541481308639,0.06923886231502951,0.12195643232063591,0.07898319614712057,Regency - Tanglewood - Marquee - Wildwood
17,2023-01-01,-0.02957027806947765,0.02866723765587853,0.12667046278711713,0.14775049123075545,0.02866723765587853,-0.03358856840228619,0.10346725306568039,0.1681362347947737,0.11434701498968813,Regency - Tanglewood - Marquee - Wildwood
18,2023-04-01,-0.0043242039909664465,0.05365615977880367,0.15375392241514296,0.17595328407440491,0.05365615977880367,-0.00906134329152919,0.13038011537744,0.19835124502142953,0.14051159426807858,Regency - Tanglewood - Marquee - Wildwood
